model,temperature,epsilon,n_images_repaired,f1_all,f1_nonrepaired_only,f1_repaired_only
granite3.2-vision:2b,0.0,0.5,116,0.2648784576697402,0.2533589251439539,0.27380952380952384
granite3.2-vision:2b,0.0,0.6,116,0.18776194467728416,0.1804222648752399,0.19345238095238096
granite3.2-vision:2b,0.0,0.7,116,0.11567476948868399,0.12284069097888675,0.11011904761904763
granite3.2-vision:2b,0.0,0.8,116,0.07208717518860017,0.07677543186180423,0.06845238095238096
granite3.2-vision:2b,0.0,0.9,116,0.03352891869237217,0.02687140115163148,0.03869047619047619
granite3.2-vision:2b,0.2,0.5,116,0.271604938271605,0.27087198515769945,0.27218934911242604
granite3.2-vision:2b,0.2,0.6,116,0.18106995884773663,0.18923933209647495,0.17455621301775145
granite3.2-vision:2b,0.2,0.7,116,0.10534979423868313,0.11131725417439703,0.10059171597633135
granite3.2-vision:2b,0.2,0.8,116,0.07242798353909465,0.06679035250463822,0.07692307692307691
granite3.2-vision:2b,0.2,0.9,116,0.02962962962962963,0.03339517625231911,0.02662721893491124
granite3.2-vision:2b,0.4,0.5,116,0.24857839155158407,0.2397003745318352,0.25538020086083213
granite3.2-vision:2b,0.4,0.6,116,0.1397238017871649,0.16104868913857678,0.12338593974175036
granite3.2-vision:2b,0.4,0.7,116,0.06661251015434606,0.07865168539325844,0.057388809182209476
granite3.2-vision:2b,0.4,0.8,116,0.03249390739236393,0.0299625468164794,0.03443328550932568
granite3.2-vision:2b,0.4,0.9,116,0.012997562956945574,0.0149812734082397,0.011477761836441893
granite3.2-vision:2b,0.6,0.5,116,0.24143556280587275,0.22509225092250923,0.25438596491228066
granite3.2-vision:2b,0.6,0.6,116,0.17781402936378465,0.16974169741697417,0.18421052631578946
granite3.2-vision:2b,0.6,0.7,116,0.0929853181076672,0.08856088560885608,0.09649122807017543
granite3.2-vision:2b,0.6,0.8,116,0.06688417618270799,0.06273062730627307,0.07017543859649122
granite3.2-vision:2b,0.6,0.9,116,0.03425774877650897,0.029520295202952032,0.038011695906432746
granite3.2-vision:2b,0.8,0.5,116,0.19055649241146713,0.1966604823747681,0.18547140649149924
granite3.2-vision:2b,0.8,0.6,116,0.12478920741989881,0.1261595547309833,0.12364760432766615
granite3.2-vision:2b,0.8,0.7,116,0.06745362563237775,0.07421150278293137,0.061823802163833076
granite3.2-vision:2b,0.8,0.8,116,0.03541315345699831,0.03339517625231911,0.03709428129829984
granite3.2-vision:2b,0.8,0.9,116,0.016863406408094438,0.011131725417439703,0.02163833075734158
granite3.2-vision:2b,1.0,0.5,116,0.18271604938271607,0.1925925925925926,0.1748148148148148
granite3.2-vision:2b,1.0,0.6,116,0.12016460905349795,0.13703703703703704,0.10666666666666667
granite3.2-vision:2b,1.0,0.7,116,0.07407407407407407,0.07407407407407408,0.07407407407407408
granite3.2-vision:2b,1.0,0.8,116,0.0411522633744856,0.04444444444444444,0.038518518518518514
granite3.2-vision:2b,1.0,0.9,116,0.01646090534979424,0.02222222222222222,0.011851851851851851
llama3.2-vision:11b,0.0,0.5,117,0.6018269747447609,0.6301369863013698,0.5803402646502835
llama3.2-vision:11b,0.0,0.6,117,0.4567436861902203,0.4782067247820672,0.4404536862003781
llama3.2-vision:11b,0.0,0.7,117,0.3524986566362171,0.36861768368617687,0.3402646502835539
llama3.2-vision:11b,0.0,0.8,117,0.27082213863514243,0.2689912826899128,0.2722117202268431
llama3.2-vision:11b,0.0,0.9,117,0.09242342826437398,0.09215442092154422,0.09262759924385634
llama3.2-vision:11b,0.2,0.5,116,0.5756929637526652,0.5823665893271461,0.5700197238658777
llama3.2-vision:11b,0.2,0.6,116,0.4456289978678038,0.46403712296983757,0.42998027613412226
llama3.2-vision:11b,0.2,0.7,116,0.3262260127931769,0.3364269141531322,0.31755424063116366
llama3.2-vision:11b,0.2,0.8,116,0.24413646055437097,0.23897911832946636,0.2485207100591716
llama3.2-vision:11b,0.2,0.9,116,0.08208955223880597,0.08584686774941996,0.07889546351084813
llama3.2-vision:11b,0.4,0.5,107,0.5923820352472995,0.6008676789587852,0.5830346475507767
llama3.2-vision:11b,0.4,0.6,107,0.4479818078453667,0.44902386117136656,0.4468339307048984
llama3.2-vision:11b,0.4,0.7,107,0.3297328027288232,0.3405639913232104,0.3178016726403823
llama3.2-vision:11b,0.4,0.8,107,0.236498010233087,0.2364425162689805,0.23655913978494625
llama3.2-vision:11b,0.4,0.9,107,0.09550881182490051,0.10195227765726682,0.0884109916367981
llama3.2-vision:11b,0.6,0.5,101,0.5816917728852841,0.5896860986547084,0.5731414868105515
llama3.2-vision:11b,0.6,0.6,101,0.43337195828505215,0.43497757847533636,0.4316546762589928
llama3.2-vision:11b,0.6,0.7,101,0.3047508690614137,0.3071748878923766,0.3021582733812949
llama3.2-vision:11b,0.6,0.8,101,0.22363847045191193,0.21524663677130043,0.23261390887290165
llama3.2-vision:11b,0.6,0.9,101,0.08342989571263035,0.08520179372197309,0.0815347721822542
llama3.2-vision:11b,0.8,0.5,58,0.543108504398827,0.5630593978844589,0.49159663865546216
llama3.2-vision:11b,0.8,0.6,58,0.40586510263929615,0.42148087876322216,0.36554621848739494
llama3.2-vision:11b,0.8,0.7,58,0.2967741935483871,0.30756712774613504,0.2689075630252101
llama3.2-vision:11b,0.8,0.8,58,0.20762463343108503,0.20667209113100082,0.21008403361344538
llama3.2-vision:11b,0.8,0.9,58,0.08680351906158358,0.07973962571196094,0.10504201680672269
llama3.2-vision:11b,1.0,0.5,44,0.5193567599761763,0.5313207547169811,0.4745762711864407
llama3.2-vision:11b,1.0,0.6,44,0.3930911256700417,0.39849056603773586,0.3728813559322034
llama3.2-vision:11b,1.0,0.7,44,0.25848719475878495,0.2641509433962264,0.23728813559322035
llama3.2-vision:11b,1.0,0.8,44,0.17272185824895772,0.17811320754716983,0.15254237288135591
llama3.2-vision:11b,1.0,0.9,44,0.07147111375818939,0.0709433962264151,0.07344632768361582
llava-llama3:8b,0.0,0.5,116,0.35135135135135137,0.35457063711911363,0.3487858719646799
llava-llama3:8b,0.0,0.6,116,0.2727272727272727,0.2770083102493075,0.2693156732891832
llava-llama3:8b,0.0,0.7,116,0.17813267813267813,0.1800554016620499,0.17660044150110374
llava-llama3:8b,0.0,0.8,116,0.10442260442260443,0.08310249307479224,0.12141280353200883
llava-llama3:8b,0.0,0.9,116,0.03931203931203931,0.03878116343490305,0.039735099337748346
llava-llama3:8b,0.2,0.5,116,0.33556231003039516,0.32647462277091904,0.3427947598253275
llava-llama3:8b,0.2,0.6,116,0.22613981762917934,0.22770919067215364,0.22489082969432314
llava-llama3:8b,0.2,0.7,116,0.1458966565349544,0.13991769547325103,0.15065502183406113
llava-llama3:8b,0.2,0.8,116,0.08632218844984803,0.07133058984910835,0.09825327510917033
llava-llama3:8b,0.2,0.9,116,0.03161094224924012,0.02469135802469136,0.037117903930131
llava-llama3:8b,0.4,0.5,116,0.35215543412264727,0.3487738419618529,0.3548740416210296
llava-llama3:8b,0.4,0.6,116,0.24650880388585306,0.24795640326975477,0.2453450164293538
llava-llama3:8b,0.4,0.7,116,0.1687917425622344,0.17166212534059946,0.1664841182913472
llava-llama3:8b,0.4,0.8,116,0.08743169398907104,0.0653950953678474,0.10514786418400877
llava-llama3:8b,0.4,0.9,116,0.03764420157862781,0.02997275204359673,0.04381161007667032
llava-llama3:8b,0.6,0.5,116,0.32786885245901637,0.3114754098360656,0.34098360655737703
llava-llama3:8b,0.6,0.6,116,0.2161505768063145,0.21584699453551914,0.2163934426229508
llava-llama3:8b,0.6,0.7,116,0.13721918639951428,0.13114754098360654,0.14207650273224043
llava-llama3:8b,0.6,0.8,116,0.07528840315725562,0.060109289617486336,0.08743169398907104
llava-llama3:8b,0.6,0.9,116,0.035215543412264724,0.030054644808743168,0.039344262295081964
llava-llama3:8b,0.8,0.5,116,0.31585365853658537,0.30095759233926134,0.32783278327832777
llava-llama3:8b,0.8,0.6,116,0.22195121951219515,0.22435020519835838,0.22002200220022003
llava-llama3:8b,0.8,0.7,116,0.15487804878048778,0.16142270861833105,0.1496149614961496
llava-llama3:8b,0.8,0.8,116,0.08292682926829269,0.07113543091655265,0.0924092409240924
llava-llama3:8b,0.8,0.9,116,0.03536585365853658,0.03283173734610123,0.0374037403740374
