model,temperature,epsilon,n_matched_with_weight,n_missed,mae,medae,nmae_legacy,cpmae,cpmae_fp
gpt-4.1,1.0,0.8,174,696,40.189655172413794,37.5,111.23793103448276,131.4758620689655,227.01149425287358
gpt-4.1,1.0,0.9,99,771,38.0,33.0,118.6448275862069,139.74367816091953,244.15862068965518
gpt-4o,0.0,0.5,654,216,34.6131498470948,19.0,58.04712643678161,69.49655172413793,98.13448275862069
gpt-4o,0.0,0.6,458,412,39.72052401746725,28.0,82.0,87.3632183908046,137.0816091954023
gpt-4o,0.0,0.7,316,554,37.99683544303797,28.5,95.94597701149425,111.05057471264368,187.21724137931034
gpt-4o,0.0,0.8,206,664,34.91747572815534,26.5,106.72298850574713,125.11149425287357,217.36436781609194
gpt-4o,0.0,0.9,134,736,33.75373134328358,23.0,114.32988505747126,134.42298850574713,237.39425287356323
gpt-4o,0.2,0.5,661,209,34.99243570347958,19.0,57.57586206896552,68.39770114942529,95.92068965517241
gpt-4o,0.2,0.6,463,407,39.751619870410366,28.0,81.50344827586207,87.10114942528736,136.26781609195402
gpt-4o,0.2,0.7,322,548,39.45962732919255,30.0,95.85977011494253,110.78275862068965,186.2080459770115
gpt-4o,0.2,0.8,206,664,34.69417475728155,25.0,106.67011494252874,125.02988505747126,217.0816091954023
gpt-4o,0.2,0.9,132,738,34.52272727272727,22.5,114.6655172413793,134.91264367816092,237.89540229885057
gpt-4o,0.4,0.5,653,217,34.9509954058193,19.0,58.40919540229885,70.03793103448275,98.33103448275862
gpt-4o,0.4,0.6,464,406,39.560344827586206,27.5,81.29885057471265,86.99770114942528,135.07816091954024
gpt-4o,0.4,0.7,321,549,41.21183800623053,30.0,96.60919540229885,109.90229885057471,184.27586206896552
gpt-4o,0.4,0.8,217,653,37.34101382488479,28.0,106.13793103448276,123.87586206896552,214.61149425287357
gpt-4o,0.4,0.9,141,729,37.737588652482266,27.0,114.20919540229885,133.51609195402298,234.98160919540229
gpt-4o,0.6,0.5,650,220,35.19230769230769,18.0,58.91379310344828,70.43448275862069,100.71954022988506
gpt-4o,0.6,0.6,450,420,39.33111111111111,25.0,82.61954022988506,89.01379310344828,142.0
gpt-4o,0.6,0.7,329,541,37.90273556231003,26.0,94.55057471264368,108.51264367816091,184.02758620689656
gpt-4o,0.6,0.8,217,653,33.75115207373272,23.0,105.24252873563218,123.21609195402299,215.78850574712644
gpt-4o,0.6,0.9,140,730,32.67142857142857,22.5,113.49885057471265,133.44252873563218,237.17011494252873
gpt-4o,0.8,0.5,656,214,37.88109756097561,23.0,60.29425287356322,70.7735632183908,98.97471264367816
gpt-4o,0.8,0.6,465,405,43.10967741935484,30.0,83.09310344827587,89.46436781609195,138.77471264367816
gpt-4o,0.8,0.7,316,554,41.7246835443038,31.0,97.3,111.7080459770115,187.62758620689655
gpt-4o,0.8,0.8,202,668,40.73267326732673,31.5,108.50574712643679,127.34942528735633,221.06206896551726
gpt-4o,0.8,0.9,130,740,39.46153846153846,28.0,115.62068965517241,135.3310344827586,238.76781609195402
gpt-4o,1.0,0.5,646,224,38.0046439628483,22.0,61.43333333333333,71.20459770114942,101.31954022988506
gpt-4o,1.0,0.6,457,413,41.927789934354486,30.0,83.26206896551724,89.96551724137932,142.05747126436782
gpt-4o,1.0,0.7,317,553,40.61198738170347,31.0,96.79425287356322,110.50574712643679,186.90804597701148
gpt-4o,1.0,0.8,211,659,34.55924170616114,28.0,106.09540229885057,125.28850574712644,218.84597701149426
gpt-4o,1.0,0.9,129,741,33.53488372093023,28.0,114.84482758620689,135.34367816091955,241.0390804597701
gpt-5.2,0.0,0.5,624,246,44.84775641025641,24.0,68.64252873563218,76.33563218390805,132.0977011494253
gpt-5.2,0.0,0.6,392,478,45.58673469387755,30.0,91.41609195402299,100.21954022988506,189.03333333333333
gpt-5.2,0.0,0.7,231,639,47.05194805194805,30.0,107.24137931034483,119.50574712643679,235.9551724137931
gpt-5.2,0.0,0.8,94,776,32.840425531914896,24.5,118.6103448275862,139.60919540229884,284.83103448275864
gpt-5.2,0.0,0.9,41,829,32.951219512195124,25.0,124.47356321839081,146.19540229885058,301.03793103448277
gpt-5.2,0.2,0.5,619,251,46.121163166397416,25.0,70.03218390804598,77.89425287356322,134.99425287356323
gpt-5.2,0.2,0.6,400,470,50.55,32.0,92.93103448275862,100.47011494252874,189.84942528735633
gpt-5.2,0.2,0.7,219,651,52.12328767123287,33.0,109.64827586206897,120.45862068965518,239.9045977011494
gpt-5.2,0.2,0.8,80,790,40.45,27.5,120.85747126436782,142.13563218390806,291.2103448275862
gpt-5.2,0.2,0.9,32,838,32.84375,26.5,125.4632183908046,147.61494252873564,304.916091954023
