epsilon,reference,model,ref_T,model_T,delta_f1_mean,delta_f1_lo,delta_f1_hi,p_ref_better
0.6,gpt-4o,gpt-4.1,0.2,0.0,-0.024310642356053947,-0.05471860610084892,0.004736820815716124,0.047
0.6,gpt-4o,gpt-5.2,0.2,0.2,0.118523838378212,0.0855463577291961,0.15190808181807916,1.0
0.6,gpt-4o,granite3.2-vision:2b,0.2,0.0,0.3599744102044184,0.3226935107948929,0.39688567380158163,1.0
0.6,gpt-4o,llama3.2-vision:11b,0.2,0.0,0.09189978245766897,0.05285704079688962,0.13337672939341838,1.0
0.6,gpt-4o,llava-llama3:8b,0.2,0.0,0.2751369521518073,0.237375933461167,0.3122901466033398,1.0
0.6,gpt-4o,llava-phi3:3.8b,0.2,0.2,0.3403042938330569,0.30174037424876965,0.37829856154537234,1.0
0.6,gpt-4o,llava:13b,0.2,0.0,0.2730707646130515,0.2373654061466529,0.3063821035316861,1.0
0.6,gpt-4o,llava:7b,0.2,0.4,0.3178335566357445,0.28277599336569714,0.3541896849007525,1.0
0.6,gpt-4o,minicpm-v:8b,0.2,0.0,0.16174316216049342,0.12539175452976326,0.19850478361856863,1.0
0.6,gpt-4o,ministral-3:14b,0.2,0.6,0.27140798638911146,0.2351131758660631,0.30603261030880274,1.0
0.6,gpt-4o,ministral-3:3b,0.2,0.0,0.25985366907787305,0.2242517514089399,0.29339041618401884,1.0
0.6,gpt-4o,ministral-3:8b,0.2,0.4,0.24908059832985396,0.21368161266961092,0.2851115843957795,1.0
0.6,gpt-4o,mistral-small3.1:24b,0.2,0.2,0.13295997905792126,0.09833450958902859,0.16857319061680606,1.0
0.6,gpt-4o,moondream:1.8b,0.2,0.8,0.31763242124739527,0.2769214661378593,0.35663023525832604,1.0
0.6,gpt-4o,qwen2.5vl:3b,0.2,0.0,0.11821249210700921,0.077120509042144,0.162908096720455,1.0
0.6,gpt-4o,qwen2.5vl:7b,0.2,0.0,-0.02609506382608449,-0.058390901868515865,0.006521394400181706,0.0555
0.6,gpt-4o,qwen3-vl:2b,0.2,0.8,0.2431907865256701,0.20364408957980437,0.2839662629681768,1.0
0.6,gpt-4o,qwen3-vl:4b,0.2,0.8,0.19254856723363448,0.15372448548980583,0.23296875869932865,1.0
0.6,gpt-4o,qwen3-vl:8b,0.2,1.0,0.18908041253065505,0.15185184882077404,0.22666579248226298,1.0
0.7,qwen2.5vl:7b,bakllava:7b,0.0,0.6,0.30775670059456606,0.2659575631597539,0.34825701626700517,1.0
0.7,qwen2.5vl:7b,gemma3:12b,0.0,0.8,0.17780074264916573,0.1468400634445278,0.20944372442748976,1.0
0.7,qwen2.5vl:7b,gemma3:4b,0.0,0.6,0.18424536637212585,0.1439698750816258,0.2224650403395236,1.0
0.7,qwen2.5vl:7b,gpt-4.1,0.0,0.2,0.08927903238814135,0.05191311870941989,0.1266662220627365,1.0
0.7,qwen2.5vl:7b,gpt-4o,0.0,0.6,0.04869020236048901,0.013854947908077848,0.08310551230502335,0.998
0.7,qwen2.5vl:7b,gpt-5.2,0.0,0.0,0.17497479983986636,0.13748221555744833,0.21318646526371218,1.0
0.7,qwen2.5vl:7b,granite3.2-vision:2b,0.0,0.0,0.30737166178755715,0.2681073740154242,0.34331577256932294,1.0
0.7,qwen2.5vl:7b,llama3.2-vision:11b,0.0,0.0,0.07131092998915083,0.03580468606731773,0.10896417335702555,1.0
0.7,qwen2.5vl:7b,llava-llama3:8b,0.0,0.0,0.2449511893057846,0.2040455014429368,0.2833954793836822,1.0
0.7,qwen2.5vl:7b,llava-phi3:3.8b,0.0,0.0,0.28570482495112604,0.24771886826786466,0.32189581980466436,1.0
0.7,qwen2.5vl:7b,llava:13b,0.0,0.0,0.2409475426746808,0.20676044060105458,0.27458590513097625,1.0
0.7,qwen2.5vl:7b,llava:7b,0.0,0.4,0.2839224908493827,0.24665314682070194,0.3208474623201948,1.0
0.7,qwen2.5vl:7b,minicpm-v:8b,0.0,0.0,0.17206060644359314,0.13607130334604992,0.20570275090343398,1.0
0.7,qwen2.5vl:7b,ministral-3:14b,0.0,0.8,0.30321264610836546,0.2681310476769792,0.3372957149739865,1.0
0.7,qwen2.5vl:7b,ministral-3:3b,0.0,0.6,0.28406883261594074,0.2519199169728071,0.314718922655795,1.0
0.7,qwen2.5vl:7b,ministral-3:8b,0.0,0.2,0.2730394175439382,0.2410516011451033,0.3055651061875603,1.0
0.7,qwen2.5vl:7b,mistral-small3.1:24b,0.0,0.2,0.11969082371536657,0.08658740592348785,0.15436948020422614,1.0
0.7,qwen2.5vl:7b,moondream:1.8b,0.0,0.8,0.28028149820582104,0.23920927607276746,0.31919485967445027,1.0
0.7,qwen2.5vl:7b,qwen2.5vl:3b,0.0,0.0,0.1135792724464108,0.07186459119447061,0.15553624779001837,1.0
0.7,qwen2.5vl:7b,qwen3-vl:2b,0.0,0.8,0.19617835547449886,0.16158649430701305,0.23299885789236516,1.0
0.7,qwen2.5vl:7b,qwen3-vl:4b,0.0,0.6,0.1682232319068248,0.12940291920839647,0.20598272988626812,1.0
0.7,qwen2.5vl:7b,qwen3-vl:8b,0.0,0.2,0.16174801189122057,0.12889692110469234,0.19463197240393598,1.0
0.7,gpt-4o,bakllava:7b,0.6,0.6,0.259066498234077,0.22307213223286887,0.2936355050905705,1.0
0.7,gpt-4o,gemma3:12b,0.6,0.8,0.1291105402886767,0.09786062105520879,0.16025673397563325,1.0
0.7,gpt-4o,gemma3:4b,0.6,0.6,0.1355551640116368,0.10024802632167486,0.17279975934497327,1.0
0.7,gpt-4o,gpt-4.1,0.6,0.2,0.04058883002765233,0.012591463127717093,0.06732028583629542,0.997
0.7,gpt-4o,gpt-5.2,0.6,0.0,0.12628459747937734,0.09474486365416412,0.1572391748710466,1.0
0.7,gpt-4o,granite3.2-vision:2b,0.6,0.0,0.25868145942706816,0.2246260821351494,0.2931909393066594,1.0
0.7,gpt-4o,llama3.2-vision:11b,0.6,0.0,0.0226207276286618,-0.011333652650696345,0.056035781751263926,0.897
0.7,gpt-4o,llava-llama3:8b,0.6,0.0,0.19626098694529556,0.16201229531985198,0.2294502064059505,1.0
