model,temperature,epsilon,precision_mean,precision_lo,precision_hi,recall_mean,recall_lo,recall_hi,f1_mean,f1_lo,f1_hi,jaccard_mean,jaccard_lo,jaccard_hi,mae_mean,mae_lo,mae_hi,cpmae_mean,cpmae_lo,cpmae_hi,cpmae_fp_mean,cpmae_fp_lo,cpmae_fp_hi
gemma3:12b,0.0,0.5,0.5216933131158821,0.48577956893356267,0.5559701492537313,0.4830036414787343,0.449994019138756,0.5159462404177197,0.5015494153622189,0.46897056311920365,0.5329360358628594,0.3348779114617229,0.30631061177500607,0.3632670756163737,51.6643367943339,44.58043397731,59.536688116257736,103.92940883985871,98.16702293724116,110.32591738756832,148.4478076812136,139.21343057250104,158.52515190547157
gemma3:12b,0.0,0.6,0.3575868879194843,0.32493634569742386,0.3877570419802902,0.3310512346997956,0.3013667602662157,0.3596304670787531,0.34377080714448904,0.3140094495810092,0.371896565568776,0.20766101948580284,0.18624626899848867,0.22842318105853246,53.61013729727272,45.14965909090909,63.061727288462485,118.04980845289887,112.16294564499766,124.13788159316633,178.7252614406873,169.00467117888704,189.07595786399483
gemma3:12b,0.0,0.7,0.2543552604898238,0.22486979651343136,0.28341633511510655,0.23547698020714902,0.20874972201739292,0.2635174132212406,0.24452609763593458,0.21675259689346185,0.2724057633382389,0.13936838676141639,0.12154936920613707,0.15767924988270793,53.75217144837906,44.50173183497537,64.26320319531953,126.85006195363678,121.24503299611416,132.67491351540616,197.93961928900114,188.49202725970642,207.78558259228546
gemma3:12b,0.0,0.8,0.14858066677708207,0.12357062101267867,0.17396884030637286,0.137545910254493,0.11484863828125202,0.1611823500940981,0.14283518039929982,0.11910236972147349,0.16745529999443423,0.07695829060471525,0.06332209039323837,0.09137856235409358,43.700739370630416,36.37922929560861,50.77261699507389,138.62444429953192,133.21651988756201,144.46986803682177,223.11436306717445,213.9970671159625,232.88654428097416
gemma3:12b,0.0,0.9,0.10040356542267026,0.07928169571868217,0.12010122032130396,0.09294338368459987,0.07381280913664635,0.11150548640681296,0.09651915289556483,0.07636157763571352,0.11513747443173633,0.050735219996696106,0.03969642986814335,0.061085343472696854,44.441250737938596,36.7323277502855,52.11440928270042,143.25913882036917,138.16306424297238,149.0002797080111,233.0444629609143,224.72963880914395,241.9852398928932
gemma3:12b,0.2,0.5,0.5234328175469188,0.4894278753480403,0.5563268365817091,0.48759732277549744,0.45589307076294755,0.51770033361857,0.5048258853652609,0.47291542902405215,0.5345139758867096,0.3377879293486033,0.30968516123976336,0.3647349528481509,51.49707880365209,44.496516367092504,59.137704291002436,103.59554767143956,98.08039333976834,109.54423646415862,147.72963955483894,138.97361265260824,157.3044491456005
gemma3:12b,0.2,0.6,0.3665727810860784,0.3353950997317229,0.396766668819069,0.3414688485203541,0.31277217625350895,0.3703734984984985,0.35353797832105877,0.32455946281633286,0.38205190394096017,0.2148227298496989,0.19371589484551288,0.23613359724749786,54.37594673904721,46.073381162619576,63.627522465036115,117.00944233074044,111.2311687281643,122.82007612179487,176.79795716757323,167.77165812761993,187.12512336239047
gemma3:12b,0.2,0.7,0.2504134950201531,0.22319175089403495,0.2787985016213798,0.2332490520675416,0.20805257146269907,0.2590979441815173,0.24150095875743235,0.2159846432177872,0.268207954592345,0.13739881302529225,0.12106658298044981,0.15487307251160007,54.16174267893782,44.77399025929483,64.81362433862434,127.26166022851842,121.79191284853255,132.93656406477652,198.93500450706267,189.82624102311854,208.4485254740194
gemma3:12b,0.2,0.8,0.15138285218581216,0.12700320983304955,0.17647058823529413,0.14100019070883316,0.1187010078387458,0.1643685980139182,0.1459916174969445,0.12295640475031298,0.16987996455605775,0.07878928919665738,0.06550535477711249,0.09282449307730327,43.93369546899995,36.830153769841274,51.328041721275646,138.2622521849933,132.85999360359835,143.99763210219535,222.52797972660443,213.74579171004686,232.1648977137683
gemma3:12b,0.2,0.9,0.10098812985986777,0.0812173375540862,0.12025435424003045,0.09405684345381117,0.07540603248259861,0.11162790697674418,0.09738889836483426,0.07883899496459883,0.11530038888694248,0.05121391242702341,0.04103716180530061,0.06117706454163646,43.87521707846768,36.27643760782059,51.564613970588226,143.08923567955333,137.93763020267824,148.79021431662602,232.78594477750676,224.54825161456478,241.66685210488646
