model,temperature,run,epsilon,f1_mean,f1_lo,f1_hi,mae_mean,mae_lo,mae_hi,cpmae_mean,cpmae_lo,cpmae_hi
gemma4:e4b,0.4,r1,0.7,0.11889668566057507,0.09801629986304583,0.14083008036739378,62.48502603812046,49.0211892700898,77.45097625588696,139.33944818161314,134.43189869074016,144.74239751344086
gemma4:e4b,0.4,r1,0.8,0.05170589300739782,0.037489146359293554,0.06734096281968623,62.345496671426616,46.742686658506734,80.17146341463415,148.35393639757572,143.54105293632725,153.72700057937897
gemma4:e4b,0.4,r1,0.9,0.025871749365472353,0.01597991140103681,0.036656262807780816,53.252933738305394,32.74889705882353,77.7875,149.82765489514247,145.03364339824768,155.1768603846686
gemma4:e4b,0.6,r1,0.5,0.360674653566923,0.3290982580917872,0.39211192199309197,65.3157414464667,57.93058035714286,73.41433588666746,125.50706357736469,120.05535112543349,131.1976933906511
gemma4:e4b,0.6,r1,0.6,0.2071330762498994,0.1783585270449032,0.23607612254551852,61.95961623085147,51.5179375,73.7174962944664,135.39554188862138,130.26780800237333,141.0992097659129
gemma4:e4b,0.6,r1,0.7,0.11162348236555161,0.09034539637074077,0.1339551343042998,62.96389216358113,49.31984447004608,78.60759191176469,141.34964326230113,136.46562310061188,146.81440950920245
gemma4:e4b,0.6,r1,0.8,0.04593491679069008,0.03259604190919674,0.061000653402087074,61.616816389696204,44.40986842105263,81.15625,148.44319590542543,143.459841092006,153.87705277526493
gemma4:e4b,0.6,r1,0.9,0.022463883893252806,0.013372443459893874,0.03240998561776707,60.74319143967854,34.14888157894737,96.00208333333332,149.8931619456785,145.02113898207168,155.19358733106534
gemma4:e4b,0.8,r1,0.5,0.36715749585668445,0.3361154524499703,0.39878223997757223,61.822567577995294,54.65712069500466,69.19675538069892,125.40362298267812,120.13517427424229,130.8391592974699
gemma4:e4b,0.8,r1,0.6,0.2177574489648809,0.1910933327417954,0.2470042997321675,61.20864215317105,51.88452173190393,71.45641705069124,133.7885578482551,128.89457559339525,139.2248274269019
gemma4:e4b,0.8,r1,0.7,0.09976639628640939,0.0798536744605347,0.1207773139614731,63.067768588157314,49.26490010675614,79.39417701863353,141.30881903349785,136.72780104004863,146.4896255652857
gemma4:e4b,0.8,r1,0.8,0.04509029622054414,0.0315127712166987,0.059234756641014394,47.4133317356518,34.941084558823526,61.33467741935483,147.83409272450058,142.92815217391305,153.35656314080654
gemma4:e4b,0.8,r1,0.9,0.023683674650347923,0.014543699967101658,0.03351303371011905,42.100732988689835,25.84017027863777,58.59318181818181,149.50905440116324,144.5415699476512,154.97550303725814
gemma4:e4b,1.0,r1,0.5,0.3711986231946847,0.34032046130120597,0.4015677096189032,64.96347872901282,57.694076855979844,72.84913900351984,125.55777963565299,120.27847270446587,131.1565638689329
gemma4:e4b,1.0,r1,0.6,0.2086591380953202,0.18044237485448197,0.23602083838908458,62.22680297779805,52.715035640480394,73.58851731601732,135.21029306892027,129.97735258644335,140.72934869476245
gemma4:e4b,1.0,r1,0.7,0.10021379780519488,0.07805875314701058,0.12182235467699229,69.26312000048883,52.47411971830986,89.0807615629984,143.51513614685274,138.27859747380268,148.96676059710515
gemma4:e4b,1.0,r1,0.8,0.04885367358646495,0.034858917217775655,0.06367552981258816,56.23857685185186,43.65605996621622,69.59574298469387,148.16006370711798,143.32155568312282,153.50880288291512
gemma4:e4b,1.0,r1,0.9,0.02377015606841802,0.014038672379117843,0.03416035473441879,47.15773243069805,33.407613636363635,61.53428571428571,149.8466947986682,144.8900160328094,155.08814456650478
gpt-5.5,1.0,r1,0.5,0.658821078364276,0.6316347919165943,0.68585871807076,42.075432640402184,37.566900167006864,47.33952238901325,74.75175324523596,69.29213897024262,80.198183776688
