model,temperature,epsilon,n,w0,k,mae_raw,medae_raw,mae_cal_insample,medae_cal_insample,mae_cal_cv,medae_cal_cv
gpt-5.2,1.0,0.5,613,43.38,0.739,46.50244698205547,25.0,49.03778452255599,33.4929069055369,49.23072344180838,33.59836846339846
gpt-5.2,1.0,0.6,382,70.49,0.577,50.85078534031414,31.5,49.235917259069815,36.56032895254921,49.56657474361191,36.729096298629244
gpt-5.2,1.0,0.7,217,68.48,0.589,49.433179723502306,33.0,46.80748643383932,30.388231678067683,47.4307116229268,31.104007856420623
gpt-5.2,1.0,0.8,83,35.14,0.727,42.31325301204819,27.0,37.55139676231378,23.223295353391393,40.156129978821525,23.52022177789371
gpt-5.2,1.0,0.9,34,55.2,0.562,28.88235294117647,19.0,22.91283386486572,25.019521104932863,24.671437780825144,26.43311908646193
llama3.2-vision:11b,0.0,0.5,179,97.75,0.469,68.32960893854748,49.0,60.764499032148464,51.45970974683553,61.69514162610289,52.397105246031
llama3.2-vision:11b,0.0,0.6,138,92.82,0.462,62.7463768115942,44.5,56.39495406636286,46.62079517064625,57.36197905540931,47.12896508083288
llama3.2-vision:11b,0.0,0.7,114,64.53,0.623,50.08771929824562,43.0,45.80973178886202,36.650535773725124,47.25442393775992,37.23364189523175
llama3.2-vision:11b,0.0,0.8,92,70.75,0.475,46.14673913043478,32.5,41.22018212753884,35.0,42.327320142622455,35.268336253716875
llama3.2-vision:11b,0.0,0.9,40,114.47,0.225,51.8,50.5,31.680226634348834,23.060355558822266,33.54463000953092,24.220313530586367
llama3.2-vision:11b,0.2,0.5,202,82.31,0.551,59.6525495049505,41.0,51.12846148267153,44.68799856117249,51.676155572250636,44.74020266681404
llama3.2-vision:11b,0.2,0.6,160,80.3,0.552,59.242593750000005,43.0,49.94937504376769,44.58357345972203,50.706762374157236,44.77643682911872
llama3.2-vision:11b,0.2,0.7,121,74.09,0.577,55.86623966942149,37.0,50.60234796809848,44.9384070013662,52.00615331319449,45.47975453132108
llama3.2-vision:11b,0.2,0.8,89,69.82,0.45,43.634494382022474,27.0,38.73399696060878,34.32799469739359,39.497474214173515,35.85971049437343
llama3.2-vision:11b,0.2,0.9,33,142.09,0.062,69.86363636363636,58.0,34.61881752679834,32.239704204716475,37.33740222129605,33.31470366432788
llama3.2-vision:11b,0.4,0.5,286,96.71,0.465,62.4469055944056,41.5,55.826294118860766,47.0,56.28898033757169,47.43317110231362
llama3.2-vision:11b,0.4,0.6,213,92.83,0.512,61.21978873239437,45.0,52.432483671101245,40.44258231388943,53.097177911228066,40.84307782524928
llama3.2-vision:11b,0.4,0.7,156,80.2,0.628,58.42846153846154,42.5,51.422000895258755,43.09537163290355,52.35391263765762,43.33549901413755
llama3.2-vision:11b,0.4,0.8,110,72.31,0.505,44.95,34.0,36.59283587892712,37.57414661931992,37.113260952880125,38.0979820951497
llama3.2-vision:11b,0.4,0.9,47,124.29,0.143,56.851063829787236,49.0,33.48379625327208,23.55576462530638,34.96508085389813,24.744472961846242
llama3.2-vision:11b,0.6,0.5,322,76.69,0.657,54.72670807453416,27.0,54.745848892987105,48.52272134186721,55.15391727934724,48.75713433899121
llama3.2-vision:11b,0.6,0.6,239,84.79,0.608,60.13179916317991,34.0,58.38299535478997,50.593513578327645,58.974111079993136,50.94788330500327
llama3.2-vision:11b,0.6,0.7,163,61.55,0.776,54.47239263803681,36.0,52.94530855655756,42.34601607257105,53.58362938297015,42.67434641418831
llama3.2-vision:11b,0.6,0.8,122,52.91,0.673,40.17213114754098,28.5,38.289566971679065,29.66534694709111,38.87638431843981,29.991201155802273
llama3.2-vision:11b,0.6,0.9,44,116.0,0.319,58.18181818181818,56.25,38.08734041412902,32.0,39.529203297529214,33.161870299818176
llama3.2-vision:11b,0.8,0.5,338,86.88,0.555,60.764792899408285,35.5,59.75083650825392,47.181421412748946,60.48082119191676,47.4697502659744
llama3.2-vision:11b,0.8,0.6,256,98.15,0.489,64.89453125,39.0,62.91184118241563,51.052542810665386,63.998594525384355,51.38466758090942
llama3.2-vision:11b,0.8,0.7,191,87.23,0.512,59.36649214659686,38.0,57.45869407680946,47.74647900651911,59.205559993599984,48.364743205622034
llama3.2-vision:11b,0.8,0.8,137,66.11,0.547,44.91240875912409,34.0,41.13022086819942,34.91012293573294,41.786746433764016,35.37229110485367
llama3.2-vision:11b,0.8,0.9,58,107.93,0.34,55.37931034482759,49.5,36.5724092562104,32.43451306286255,38.049888741698176,33.087694639021166
llama3.2-vision:11b,1.0,0.5,350,84.87,0.523,58.88428571428572,37.0,56.672667734044914,45.2642101131577,57.03637673465485,45.567049044921454
llama3.2-vision:11b,1.0,0.6,269,93.65,0.492,60.910780669144984,37.0,58.18577544513591,45.4888517784336,58.70953764936632,45.61658140680885
llama3.2-vision:11b,1.0,0.7,184,83.45,0.585,59.12228260869565,37.0,57.01929551099218,46.34258219728445,57.681293250573844,46.55106603824153
llama3.2-vision:11b,1.0,0.8,126,71.39,0.515,42.92857142857143,28.5,41.58962389966786,37.49146013515788,42.2933986265679,37.37501925545511
llama3.2-vision:11b,1.0,0.9,50,154.5,-0.064,53.51,38.0,37.32024487150169,33.44515472999284,39.1778791291157,34.378216463411434
llava-llama3:8b,0.0,0.5,13,38.15,0.813,43.15384615384615,38.0,39.55935525150937,37.54189461684321,48.11289686346942,45.24284283020802
llava-llama3:8b,0.0,0.6,12,40.48,0.808,46.666666666666664,42.5,41.15063732794014,41.8279214561624,50.79730386900118,49.601407284768214
llava-llama3:8b,0.2,0.5,11,263.34,-0.499,115.72727272727273,51.0,99.82200845516772,85.02157928163143,127.95714889927473,112.01638272002359
llava-llama3:8b,0.8,0.5,11,234.48,-0.599,150.54545454545453,80.0,119.40762484163703,75.88731058685107,140.13426096940796,92.42726728062198
llava-llama3:8b,1.0,0.5,16,116.41,0.104,80.375,78.5,48.41296901032244,47.907276766214764,52.9786325498265,48.93315852930153
llava-llama3:8b,1.0,0.6,12,127.08,0.051,91.66666666666667,93.0,53.70246622171576,58.13999674426175,63.43109199131794,71.58014227598738
